0	1
after virtually every terror attack and mass shooting, friends and neighbors express shock	Bandwagon,Reductio_ad_hitlerum
I can tell you 100% this is not that kind of guy	Appeal_to_Authority
It’s gotta be a set-up	Doubt
This throws their entire narrative into question and makes one wonder what else is being hidden from the public?	Doubt
seemingly covering up the ISIS connection	Doubt
Laura Loomer proves that authorities have directly lied to the American people	Appeal_to_Authority
so-called evidence	Doubt
lied to the American people	Flag-Waving
What Else Are They Hiding?	Doubt
proving that the FBI specifically lied to the country	Repetition
lied to the country	Flag-Waving
According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th	Appeal_to_Authority
so-called evidence	Name_Calling,Labeling
cannot be trusted and should be considered as disinformation	Doubt
it was a suicide note	Repetition
While officials did not reveal the woman’s name, they did tell reporters she was a prostitute	Whataboutism,Straw_Men,Red_Herring
ammunition was purchased under someone else’s name	Repetition
ammo was bought under someone else’s name	Repetition
anti-Israel BDS hate group	Name_Calling,Labeling
accused Jews of drinking blood	Loaded_Language
"EU no longer considers #Hamas a terrorist group. Time for US to do same."""	Bandwagon,Reductio_ad_hitlerum
Holocaust Syndrome” of entitlement	Loaded_Language
Hezbollah as “an armed-resistance movement”	Name_Calling,Labeling
an anti-Israel	Repetition
Its perversion	Loaded_Language
accused Jews of drinking blood	Loaded_Language
Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews	Appeal_to_fear-prejudice
Zionism does not only dispossess Palestinians, but it also dispossesses in a very sophisticated way, non-white Jews. Being Jewish is highly identified with being white because of Zionism	Flag-Waving
simmer	Loaded_Language
We all have choices to make	Thought-terminating_Cliches
Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews	Black-and-White_Fallacy
just around the corner”	Thought-terminating_Cliches
very dirty and unappealing water under the Catholic bridge	Loaded_Language
Who can read this without cringing at what we now know was about to happen	Loaded_Language
Pope Paul’s gracious and beautiful exposition, and in part on the sheer radical, mad unlikeliness of it	Loaded_Language
The idea of transubstantiation struck me as I read that document as possibly the strangest and most earth shattering thing I’d ever heard. It shocked me out of a kind of swamp of intellectual worldliness; presenting the idea to my thirsty mind that there could indeed be fantastic realities far more wonderful than the banal and painfully uninteresting secularist worldview I had been taught to accept. It was as though someone had plausibly told me that, yes, there were fairies and magical kingdoms in real life, “just around the corner”	Loaded_Language
it was outright wicked	Loaded_Language
this sacramental reality that was about to be catastrophically obscured	Loaded_Language
…it is not allowable to emphasize what is called the “communal” Mass to the disparagement of Masses celebrated in private, or to exaggerate the element of sacramental sign as if the symbolism, which all certainly admit in the Eucharist, expresses fully and exhausts completely the mode of Christ’s presence in this sacrament	Black-and-White_Fallacy
Nor is it allowable to discuss the mystery of transubstantiation without mentioning what the Council of Trent stated about the marvelous conversion of the whole substance of the bread into the Body and of the whole substance of the wine into the Blood of Christ, speaking rather only of what is called “transignification” and “transfiguration,”	Black-and-White_Fallacy
We know it is demonically inspired because their hatred is for Christ Himself in the first place and for anyone who loves and wants to serve Him second. They are men who refuse to bend the knee before the God whom they will not serve	Appeal_to_fear-prejudice
The demonic forces we know are the driving force behind this supreme moment of heresy and destruction aren’t really looking at the undermining of marriage as their primary goal; they want to get at the Eucharist	Bandwagon,Reductio_ad_hitlerum
is demonically brilliant	Loaded_Language
will be ruling embattled islands of Catholicism in a poisoned sea of systematic heresy and desecration	Loaded_Language
But whatever its flaws, Mysterium Fidei is the one I found, and I’m convinced it wasn’t an accident	Thought-terminating_Cliches
pernicious nonsense	Loaded_Language
If the Mass were ever reduced in our minds to being merely a commemorative meal and the priest as only a community leader or functionary, then the celibacy of the Catholic Priesthood might seem extravagant	Black-and-White_Fallacy
A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall	Appeal_to_fear-prejudice
why weren’t the police rushing to the scene immediately	Doubt
constantly changing story	Doubt
While we may never know the exact circumstances	Doubt
As the days have become weeks, the weeks will become months, and survival will get more difficult	Thought-terminating_Cliches
a natural disaster of a magnitude not seen in over a century	Exaggeration,Minimisation
the unprecedented level of destruction	Exaggeration,Minimisation
the hurricane-ravaged island	Name_Calling,Labeling
wrath	Loaded_Language
devastated	Loaded_Language
we are doing everything possible to address the needs of the American citizens of Puerto Rico during this time of crisis	Flag-Waving
hurricane-ravaged	Loaded_Language
series of shocking comments	Loaded_Language
Take note that what he means here is that people were being shot at from ground level rather than the 32nd floor of the hotel	Whataboutism,Straw_Men,Red_Herring
huge bombshell	Loaded_Language
we are not being told what actually happened that fateful night	Doubt
a huge bombshell in the ongoing investigation	Doubt
while Francis does nothing	Whataboutism,Straw_Men,Red_Herring
Mr. Ferrara, however, bases his critique upon an assumption that the “generous response” offered to God is a sin. This, though, is not what AL is saying	Whataboutism,Straw_Men,Red_Herring
Pope Francis explains this again in AL 305 when he says “a small step, in the midst of great human limitations, can be more pleasing to God than a life which appears outwardly in order	Appeal_to_Authority
With all due respect to Dr. Fastiggi, his argument and that of Buttiglione, that a “move away from sin” is what is pleasing to God, even if the moral norm is not adhered to, is sophistical	Doubt
A moral catastrophe is self-evidently underway and it is not possible honestly to deny its cause	Appeal_to_fear-prejudice
with an open heart and mind	Thought-terminating_Cliches
with an open heart and mind, but above all with open eyes	Loaded_Language
He mentions the Holy Father's letter to the Buenos Aires bishops, but he fails to take into account that the statement of those Argentine bishops can be interpreted in an orthodox way	Whataboutism,Straw_Men,Red_Herring
I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases	Appeal_to_Authority
Does Mr. Ferrara believe that the Catholic Church under Pope Francis is a “Leviathan Church” and not the Catholic Church? If this is so, then it would suggest that Mr. Ferrara is refusing submission to the Roman Pontiff and communion with the members of the Church subject to him	Black-and-White_Fallacy
Dr. Fastiggi has succumbed to an unfortunate literal-mindedness	Loaded_Language
demonstrate a pronounced lack of comprehension of pertinent ecclesiological and theological basics, and a rather embarrassing lack of rhetorical finesse	Loaded_Language
I respectfully suggest that Dr. Fastiggi’s comments evince a need for serious study and reflection before he ventures further opinions on this controversy in public	Doubt
Irony of ironies	Loaded_Language
foot soldiers of a Leviathan Church	Name_Calling,Labeling
What exactly do they want us to believe?	Doubt
There are obviously certain things that the FBI and other investigators seem intent on covering up	Doubt
so why change the narrative to make it even more unbelievable?	Doubt
Slowly but surely	Thought-terminating_Cliches
astonishing eyewitness report	Loaded_Language
Keep in mind, this is all information that the police and the FBI has hidden	Doubt
Keep in mind, this is all information that the police and the FBI has hidden from the American people	Flag-Waving
it is strikingly obvious that authorities have lied to the American people	Repetition
One can only speculate as to what the reasons for these lies actually are?	Doubt
less glamorous	Name_Calling,Labeling
you move closer to legalizing all illegals	Exaggeration,Minimisation
"Any Jew who opposes the Occupation — or opposes Zionism itself — knows that feeling of being shunned from the places that are supposed to shelter and nurture you: families, synagogues, community centers, arts organizations,"""	Appeal_to_fear-prejudice
people who hate the existence of Jewish nationhood. Not of Jewish nationhood itself	Bandwagon,Reductio_ad_hitlerum
radical anti-Israel hate group	Name_Calling,Labeling
anti-Israel BDS hate group	Name_Calling,Labeling
accused Jews of drinking blood	Loaded_Language
anti-Semite	Name_Calling,Labeling
"EU no longer considers #Hamas a terrorist group. Time for US to do same."""	Bandwagon,Reductio_ad_hitlerum
anti-Israel	Repetition
go whine to the New York Times some more	Loaded_Language
burn crosses on their lawn	Loaded_Language
EU no longer considers #Hamas a terrorist group. Time for US to do same	Appeal_to_Authority
terrified	Loaded_Language
If our Jewish institutions — particularly the American Jewish Historical Society — cannot accommodate dissent, and effectively exclude all Jewish anti-Zionists, then they have not only lost a rapidly growing Jewish population, but they have lost a key aspect of their Jewishness	Black-and-White_Fallacy
knapsack of entitled nonsense	Loaded_Language
whining	Loaded_Language
It's resistance to a propaganda campaign intended to attack the human rights of the Jewish people	Bandwagon,Reductio_ad_hitlerum
Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn	Black-and-White_Fallacy
conspiracy theorists”	Name_Calling,Labeling
Are they for real	Repetition
Further, the FBI insists there is no jihad motive, while saying they don’t know his motive	Doubt
That raised a number of question	Doubt
Are they for real?	Doubt
Do the FBI and law enforcement think people won’t talk about it or speculate as to what happened? Are they for real?	Doubt
contradicting a timeline they had offered earlier this week…	Doubt
These discrepancies on basic facts are feeding conspiracy theories	Doubt
fiasco	Loaded_Language
trying to clean up the mess	Loaded_Language
"reckless abandonment of facts in favor of ego and ideology"""	Loaded_Language
lying to the American people.”	Flag-Waving
recklessly abandoned the facts	Repetition
The Obama administration lied to the American people	Repetition
This was another lie	Repetition
Obama administration lied about that too	Repetition
the US Administration and Congress to consider the implications to the security of the US and its allies before taking any steps that might undermine the JCPOA, such as re-imposing sanctions on Iran lifted under the agreement.”	Appeal_to_fear-prejudice
disastrous nuclear deal	Loaded_Language
It was the Obama administration that recklessly abandoned the facts in pressing ahead with the deal	Whataboutism,Straw_Men,Red_Herring
Israel must be wiped out”	Slogans
shamelessly denied	Loaded_Language
let’s just kick the can down the road	Loaded_Language
phony agreements	Loaded_Language
North Korea’s actions over the last 23 years have proven that making concessions to a rogue regime in order to obtain denuclearization commitments is so dangerous that President Trump does not want to make the same mistake with Iran	Appeal_to_fear-prejudice
Appeasement through phony deals with a rogue dictatorship does not work, as proven by the infamous Munich Pact signed by British and French Prime Ministers Neville Chamberlain and Edouard Daladier with German Chancellor Adolf Hitler seventy-nine years ago	Bandwagon,Reductio_ad_hitlerum
phony deals	Loaded_Language
huge concern for many	Bandwagon,Reductio_ad_hitlerum
extremely	Loaded_Language
unprecedented	Loaded_Language
difficult at best	Loaded_Language
the likelihood that this disease will move to other more densely populated regions of the planet has become a huge concern for many	Appeal_to_fear-prejudice
making cures in underdeveloped regions of the globe difficult at best	Appeal_to_fear-prejudice
black death	Name_Calling,Labeling
they want the public to believe	Doubt
His mere existence appears to have been fabricated by the very authorities who are cramming lies down our throats about this massacre for the sake of political agendas	Doubt
mysteriously vanished into thin air	Doubt
Mysteriously Vanished Into Thin Air	Repetition
cramming lies down our throats	Loaded_Language
vanishing into thin air	Repetition
they desperately want us to believe	Doubt
the threat Iran constitutes to US national security and interests	Appeal_to_fear-prejudice
a menace to the US, its allies and international security as a whole	Appeal_to_fear-prejudice
murderous regime	Loaded_Language
Iran’s long rap sheet of aggression against America	Flag-Waving
seizure and hostage crisis	Loaded_Language
Trump described Iran’s crimes and acts of war against America	Flag-Waving
sponsorship of terrorism	Appeal_to_fear-prejudice
aggressive and illicit acts against the US, its interests and allies	Repetition
Unfortunately, it is also likely, indeed, it is more likely, that his words will not be translated into policies to achieve these critical aims	Doubt
ugly public fight	Loaded_Language
the most outspoken supporter	Name_Calling,Labeling
the authoritarian theocrats	Name_Calling,Labeling
overarching hostility and aggression	Loaded_Language
It won’	Repetition
it won’t bring	Repetition
It won’t destroy	Repetition
deal won’t destroy	Repetition
If they fail, the possibility Trump created will be lost, perhaps irrevocably	Causal_Oversimplification
sordid	Loaded_Language
Threatened	Repetition
threatened	Repetition
threatened	Repetition
threatened	Repetition
threatened	Repetition
threats	Repetition
largely ignored it	Loaded_Language
harsh position	Loaded_Language
point to Iran’s positioning itself for more aggressive military actions that could place U.S. forces in harm’s way	Appeal_to_fear-prejudice
its aggressive, destabilizing, and unlawful behavior	Loaded_Language
unlawful behavior	Repetition
it tells us that we will soon have another North Korea on our hands	Bandwagon,Reductio_ad_hitlerum
They are a perfect match for each other	Thought-terminating_Cliches
putting the Revolutionary Guard in the terrorist lists with terrorist groups can be very costly to the United States and its military bases and forces in the region.”	Appeal_to_fear-prejudice
the stupidity of the American government	Loaded_Language
The Iraqi branch of Iran’s terrorist proxy Hezbollah has vowed that once ISIS is defeated it will start killing Americans, as it has done before	Appeal_to_fear-prejudice
outlaw behavior	Loaded_Language
caught red-handed	Loaded_Language
They are a perfect match for each other	Causal_Oversimplification
to kick the can down the road as usual	Loaded_Language
Thus, it is threatening U.S. forces and bases in the region	Appeal_to_fear-prejudice
This will not only serve to bolster the Assad regime, but it also will strengthen Iran's ability to follow through on its threats to the U.S. and its allies, principally Israel	Appeal_to_fear-prejudice
To do otherwise would be foolish.”	Appeal_to_fear-prejudice
the Iranian regime’s “most threatening act”	Appeal_to_fear-prejudice
it tells us that we will soon have another North Korea on our hands,”	Appeal_to_fear-prejudice
“If it is wrong for North Korea to do this, why doesn’t that same mentality apply to Iran? “	Bandwagon,Reductio_ad_hitlerum
a modicum of sense	Loaded_Language
"""If we want to talk to North Korea now, the possible end for the nuclear deal with Iran would jeopardize the credibility of such treaties"	Appeal_to_fear-prejudice
High Alert	Loaded_Language
“no one is safe”	Appeal_to_Authority
continuing to spread and worsen	Appeal_to_Authority
no one is safe	Appeal_to_Authority
no one is safe	Repetition
“no one is safe”	Repetition
No One Is Safe	Repetition
much more dangerous	Appeal_to_Authority
high alert	Loaded_Language
the number of cases is growing by the day	Appeal_to_Authority
safe and dignified	Appeal_to_Authority
incredibly	Loaded_Language
“It has been a long time since we have seen the plague in an urban environment	Appeal_to_Authority
no one in Madagascar is safe	Repetition
people in every place in society are catching the disease	Appeal_to_fear-prejudice
no one in Madagascar is safe	Appeal_to_fear-prejudice
their dream of independence is all but dead	Exaggeration,Minimisation
But what if the Baghdad regime of Haider al-Abadi does not agree? What if the Quds Force does not go home to Iran and the Shiite militias that helped retake Kirkuk refuse to enlist in the Iraqi army?	Whataboutism,Straw_Men,Red_Herring
Do we accept that outcome, pack up and go home? Or do we leave our forces in Syria and Iraq and defy any demand from Assad to vacate his country?	Black-and-White_Fallacy
apparently clueless to the presence of 800 U.S. troops in Niger	Doubt
Would the American people support such a war with U.S. troops?	Flag-Waving
If we rely on the Kurds in Syria, we lose NATO ally Turkey	Black-and-White_Fallacy
"terrorist"""	Name_Calling,Labeling
And only one force in the region has the power to reverse the present outcome of Syria's civil war--the United States	Flag-Waving
A failure by the United States to defend its allies or promote new political arrangements for (Syria and Iraq) will lead only to more war, the rise of new terrorist threats, and, ultimately, the necessity of more U.S. intervention	Appeal_to_fear-prejudice
what if the	Doubt
What if	Doubt
Or do we leave our forces in Syria and Iraq and defy any demand from Assad to vacate his country?	Appeal_to_fear-prejudice
secure, is that really a victory?	Doubt
If we rely on the Kurds in Syria, we lose NATO ally Turkey, which regards Syria's Kurds as collaborators of the PKK in Turkey, which even the U.S. designates a terrorist organization	Appeal_to_fear-prejudice
interventionist Post	Name_Calling,Labeling
If he crosses, he joins Bush II in the history books	Bandwagon,Reductio_ad_hitlerum
a good strategy was to blame the assassination on a communist because then they could smear anyone who challenged the official story as a communist sympathizer	Bandwagon,Reductio_ad_hitlerum
Trump is in the driver’s seat because the CIA cannot afford to permit the American people to see the records it wants to continue to be kept secret	Flag-Waving
no reasonable person can honestly believe	Exaggeration,Minimisation
Really? What, like the CIA was using typewriters instead of computers and pay telephones instead of cell phones	Doubt
the extreme nonchalance	Exaggeration,Minimisation
absolutely ludicrous	Loaded_Language
purported communist	Name_Calling,Labeling
Something dreadful	Loaded_Language
cherished long-secret records	Loaded_Language
Trump is in the driver’s seat because the CIA cannot afford to permit the American people to see the records it wants to continue to be kept secret	Causal_Oversimplification
once the CIA gives Trump what he wants, he will cave and give the CIA the continued secrecy it so desperately needs	Causal_Oversimplification
the two most important and meaningless words	Loaded_Language
result in the United States falling into the ocean	Exaggeration,Minimisation
the communists are going to take over the federal government	Exaggeration,Minimisation
the extreme nonchalance	Loaded_Language
It’s essentially an admission of guilt	Causal_Oversimplification
the mainstream media has never given any serious consideration	Exaggeration,Minimisation
pat frame-up	Loaded_Language
They had to make certain that Oswald was not on to them and had not discovered that he was being set up for a frame-up	Causal_Oversimplification
it knows that those records will further implicate the CIA in the Kennedy assassination	Causal_Oversimplification
by seeking continued secrecy, it’s essentially an implicit acknowledgment of guilt	Causal_Oversimplification
because it knows that its assets and allies in the mainstream press will continue to come to its defense	Causal_Oversimplification
the CIA steadfastly kept secret from the American people	Flag-Waving
Every American owes it to himself to read that manual	Flag-Waving
to keep some of the CIA’s decades-old JFK’s related assassination records secret from the American people	Flag-Waving
lone nut former U.S. Marine communist	Name_Calling,Labeling
That would enable the CIA to blame the assassination on a communist	Bandwagon,Reductio_ad_hitlerum
crisis of epic proportions	Exaggeration,Minimisation
the blurry picture feels like it’s worth a good deal more than 1,000 words. It illuminates just a small sliver of the public health crisis	Loaded_Language
the post-apocalyptic ravaged territory	Exaggeration,Minimisation
The islands are grappling with	Loaded_Language
the power grid’s utter annihilation	Exaggeration,Minimisation
Crisis Of Epic Proportions	Loaded_Language
devastating	Loaded_Language
devastated	Loaded_Language
The islands are grappling with physician shortages, Medicaid programs facing an impending funding cliff, and widespread disparities in Federal health programs—and that was before hurricane season	Appeal_to_fear-prejudice
but more can and should be done to help Americans impacted by these disasters	Flag-Waving
utter annihilation	Loaded_Language
looming crisis	Loaded_Language
hatemonger	Name_Calling,Labeling
Satan	Repetition
Satan	Repetition
grotesque	Loaded_Language
white supremacist icon	Name_Calling,Labeling
“Jewish Zionist Agent.”	Name_Calling,Labeling
venomous	Loaded_Language
Satan	Repetition
“Death to Israel”	Slogans
wicked and filth-ridden	Name_Calling,Labeling
grandson of a monkey and a pig	Name_Calling,Labeling
“monkeys and pigs.”	Name_Calling,Labeling
Ku Klux Klan	Appeal_to_fear-prejudice
enamored	Loaded_Language
white nationalist plowed his car into a group of people who were protesting the rally, killing one	Appeal_to_fear-prejudice
Racist Jewish Supremacists	Name_Calling,Labeling
Destruction	Loaded_Language
wild	Loaded_Language
Satan	Repetition
absurd	Loaded_Language
the greatest leader in modern Western history	Name_Calling,Labeling
hatemongering	Loaded_Language
toxic hate	Loaded_Language
Grand Wizard of the Ku Klux Klan	Name_Calling,Labeling
Dr. David Duke Exposes the Real Racist Jewish Supremacists Who Orchestrate the Destruction of European Mankind…’	Appeal_to_fear-prejudice
Jewish extremists	Name_Calling,Labeling
a man to believe in!	Slogans
Arch Deceiver	Name_Calling,Labeling
the crisis in Madagascar had yet to peak	Appeal_to_Authority
the epidemic could still worsen	Appeal_to_Authority
If the treatment is not given in a very short period of time these people will end up dying	Appeal_to_Authority
“black death”	Name_Calling,Labeling
It’s Airborne	Appeal_to_fear-prejudice
Could Spread Rapidly	Appeal_to_fear-prejudice
sounding warnings that the disease is spreading rapidly	Appeal_to_fear-prejudice
sounded the alarm	Appeal_to_fear-prejudice
alarming warnings	Appeal_to_fear-prejudice
these people will end up dying	Appeal_to_fear-prejudice
“Black Death”	Name_Calling,Labeling
People Are Literally ‘Dancing With Corpses’	Loaded_Language
dancing with corpses.”	Loaded_Language
is said to be	Appeal_to_Authority
